ANNEE PLANTATION	HAUTEUR
1935	13.0
1854	20.0
1862	22.0
1906	16.0
1784	30.0
1860	45.0
1840	40.0
1933	16.0
	30.0
1913	33.0
	30.0
	35.0
1862	35.0
	12.0
1850	30.0
	10.0
1857	10.0
1882	27.0
1872	
	30.0
1843	26.0
1872	18.0
1845	28.0
1930	20.0
	10.0
1870	25.0
1601	11.0
	12.0
1879	22.0
1850	20.0
	35.0
1894	18.0
	30.0
1935	30.0
1873	10.0
1862	34.0
1833	12.0
	35.0
	18.0
1897	14.0
1850	30.0
1872	40.0
1882	30.0
1859	30.0
1900	16.0
1862	35.0
1930	22.0
1870	5.0
1871	25.0
1875	14.0
1860	15.0
1935	15.0
1905	2.0
1879	20.0
1895	23.0
1829	30.0
1895	10.0
	12.0
1862	30.0
1857	27.0
1945	20.0
1880	20.0
1905	30.0
	6.0
1868	15.0
1906	12.0
1815	31.0
1860	42.0
1935	12.0
	14.0
1814	31.0
1900	20.0
1895	25.0
	20.0
1772	13.0
1782	30.0
1840	30.0
	22.0
1893	18.0
1865	25.0
1882	20.0
	15.0
1814	20.0
1865	20.0
1939	25.0
1852	30.0
	20.0
1907	9.0
1847	40.0
1859	25.0
	12.0
1852	30.0
1863	12.0
1896	16.0
1918	32.0
1860	22.0
1870	15.0
